ID;LIMIT_BAL;SEX;EDUCATION;MARRIAGE;AGE;BILL_AMT1;BILL_AMT2;BILL_AMT3;BILL_AMT4;BILL_AMT5;BILL_AMT6;PAY_AMT1;PAY_AMT2;PAY_AMT3;PAY_AMT4;PAY_AMT5;PAY_AMT6;default payment next month
3;90000;2;2;2;34;29239;14027;13559;14331;14948;15549;1518;1500;1000;1000;1000;5000;0
4;50000;2;2;1;37;46990;48233;49291;28314;28959;29547;2000;2019;1200;1100;1069;1000;0
5;50000;1;2;1;57;8617;5670;35835;20940;19146;19131;2000;36681;10000;9000;689;679;0
6;50000;1;1;2;37;64400;57069;57608;19394;19619;20024;2500;1815;657;1000;1000;800;0
7;500000;1;1;2;29;367965;412023;445007;542653;483003;473944;55000;40000;38000;20239;13750;13770;0
11;200000;2;3;2;34;11073;9787;5535;2513;1828;3731;2306;12;50;300;3738;66;0
15;250000;1;1;2;29;70887;67060;63561;59696;56875;55512;3000;3000;3000;3000;3000;3000;0
18;320000;1;1;1;49;253286;246536;194663;70074;5856;195599;10358;10000;75940;20000;195599;50000;0
21;130000;2;3;2;39;38358;27688;24489;20616;11802;930;3000;1537;1000;2000;930;33764;0
26;50000;1;3;2;23;47620;41810;36023;28967;29829;30046;1973;1426;1001;1432;1062;997;0
28;50000;2;3;2;30;22541;16138;17163;17878;18931;19617;1300;1300;1000;1500;1000;1012;0
32;50000;1;2;2;33;30518;29618;22102;22734;23217;23680;1718;1500;1000;1000;1000;716;1
33;100000;1;1;2;32;93036;84071;82880;80958;78703;75589;3023;3511;3302;3204;3200;2504;0
34;500000;2;2;1;54;10929;4152;22722;7521;71439;8981;4152;22827;7521;71439;981;51582;0
37;280000;1;2;1;40;186503;181328;180422;170410;173901;177413;8026;8060;6300;6400;6400;6737;0
41;360000;1;1;2;33;218668;221296;206895;628699;195969;179224;10000;7000;6000;188840;28000;4000;0
42;70000;2;1;2;25;67521;66999;63949;63699;64718;65970;3000;4500;4042;2500;2800;2500;0
43;10000;1;2;2;22;1877;3184;6003;3576;3670;4451;1500;2927;1000;300;1000;500;0
44;140000;2;2;1;37;59504;61544;62925;64280;67079;69802;3000;3000;3000;4000;4000;3000;0
49;380000;1;2;2;32;22401;21540;15134;32018;11849;11873;21540;15138;24677;11851;11875;8251;0
50;20000;1;1;2;24;17447;18479;19476;19865;20480;20063;1318;1315;704;928;912;1069;0
52;100000;2;3;3;43;61559;51163;43824;39619;35762;33258;2000;1606;1500;2000;1500;1000;0
54;180000;2;1;2;25;41402;41742;42758;43510;44420;45319;1300;2010;1762;1762;1790;1622;0
55;150000;2;1;2;29;46224;34993;31434;26518;21042;16540;1600;1718;1049;1500;2000;5000;0
57;180000;2;3;1;34;16386;15793;8441;7142;-679;8321;8500;1500;7500;679;9000;2000;0
58;180000;2;2;1;34;175886;173440;172308;168608;132202;129918;8083;7296;5253;4814;4816;3800;0
60;400000;2;2;1;29;400134;398857;404205;360199;356656;364089;17000;15029;30000;12000;12000;23000;0
61;500000;2;3;1;28;22848;23638;18878;14937;13827;15571;1516;1300;1000;1000;2000;2000;1
68;210000;2;1;2;30;300;300;1159;2280;300;4250;300;1159;2280;300;4250;909;0
73;200000;2;2;1;32;9076;5787;-684;5247;3848;3151;5818;15;9102;17;3165;1395;0
75;340000;1;1;2;32;3048;5550;23337;4291;80153;25820;5713;23453;4314;80552;25949;2016;0
77;50000;1;3;2;25;42838;37225;36087;9636;9590;10030;1759;1779;320;500;1000;1000;0
78;300000;2;1;1;45;291;291;291;291;291;291;291;291;291;291;291;291;0
81;470000;2;3;3;33;165254;157784;162702;69923;29271;29889;6400;7566;3000;960;1000;3000;0
82;360000;2;1;2;26;23411;27796;30400;33100;180000;196;4796;3400;3100;146900;196;2963;0
84;400000;2;2;1;44;131595;139060;126819;104430;104990;94058;10700;3;3050;3000;3200;2800;0
85;50000;2;3;2;49;48909;47863;21489;20414;19342;19482;1676;1302;700;699;849;826;0
86;160000;1;2;2;33;130028;107808;71934;118418;118407;120418;4400;3547;80000;4500;4800;4500;0
89;130000;2;1;1;35;81313;117866;17740;1330;7095;1190;40000;5000;1330;7095;1190;2090;0
91;200000;1;1;1;53;138180;140774;142460;144098;147124;149531;6300;5500;5500;5500;5000;5000;1
95;60000;2;2;2;23;45648;46850;47214;19595;19209;19323;1937;1301;682;690;816;835;0
96;90000;1;2;2;35;83725;85996;87653;35565;30942;30835;3621;3597;1179;1112;1104;1143;0
98;150000;1;1;2;27;86009;86108;89006;89775;87725;40788;4031;10006;3266;4040;1698;800;0
99;50000;2;3;1;22;18722;18160;16997;13150;8866;7899;1411;1194;379;281;321;197;0
102;380000;2;1;2;30;-81;-303;32475;32891;33564;34056;223;33178;1171;1197;1250;5000;0
104;50000;2;3;2;22;44698;42254;38347;32496;23477;24094;1767;1362;1002;840;995;904;1
107;80000;2;2;1;36;6108;2861;3277;3319;1150;1150;2861;3279;3319;1150;1150;1035;0
108;350000;1;1;2;52;713;2272;722;867;1150;5263;2272;722;867;1150;5263;5011;0
112;50000;1;3;1;47;13244;14722;15181;15928;16671;17393;2000;1000;1000;1000;1000;1000;0
114;100000;2;1;2;24;52128;52692;54477;56076;60100;59713;2000;2677;3076;5080;3000;2033;0
115;50000;1;2;2;41;19015;19294;20259;20274;20311;19957;1340;1305;700;718;724;684;0
117;240000;1;1;2;28;326;326;326;5676;476;326;326;326;5676;476;326;526;0
118;80000;1;2;2;26;14029;15493;16630;17055;17629;18186;2000;1700;1000;1000;1000;1000;1
119;400000;1;2;1;34;19660;9666;11867;7839;14837;7959;9677;11867;7839;14837;7959;5712;0
120;240000;2;2;2;38;50254;51445;53015;52479;1307;1203;2000;3000;3000;1307;1203;563;0
124;310000;2;2;1;35;304991;311243;306314;258610;246491;198889;13019;11128;8407;8599;6833;5987;1
127;200000;1;3;2;52;110151;99530;98951;100914;103146;104993;3568;3585;3602;3848;3669;3784;0
128;180000;1;1;1;36;163736;116422;99278;95766;97753;95927;4655;2690;2067;2142;2217;1000;1
129;50000;1;2;1;51;3347;3899;4503;5347;6375;7077;1000;1066;1300;1500;1200;134;1
130;60000;1;3;1;55;60521;61450;57244;28853;29510;26547;2504;7;1200;1200;1100;1500;0
131;30000;2;1;2;23;4000;5645;3508;-27;13744;5906;5645;3508;27;13771;5911;3024;0
133;420000;1;2;1;34;253454;247743;229049;220951;210606;188108;9744;9553;7603;7830;7253;11326;0
134;330000;1;3;1;46;227389;228719;229644;227587;227775;228203;8210;8095;8025;8175;8391;8200;0
137;150000;1;1;2;27;17444;19342;22000;24614;27200;30229;2500;3000;3000;3000;3500;5000;0
138;210000;2;2;1;33;7166;7997;8792;9189;4404;5708;1500;1500;1000;500;2000;546;0
140;50000;1;1;2;24;50801;50143;49586;19430;19375;18995;2360;1700;1000;900;870;2130;0
143;50000;1;2;2;23;10131;10833;20583;19996;19879;18065;1000;10000;400;700;800;600;0
144;170000;1;2;2;29;12159;10000;10000;10000;9983;15846;10000;10000;10000;9983;15863;10000;0
145;20000;1;1;2;29;1199;15586;344;2340;6702;339;15586;344;2340;4702;339;330;0
148;200000;1;1;2;34;197236;176192;93069;135668;132233;59875;8000;5000;55500;5000;5000;8500;0
152;80000;1;1;2;25;42444;55744;43476;41087;41951;31826;30000;3000;6000;8000;2000;14000;0
154;280000;2;2;1;56;208775;182350;132257;101783;177145;169311;8042;6700;5137;100000;7000;6321;0
